year,month,GDP,Normalised GDP,Unemployment Rate,Normalised Unemployment Rate
2013,3,486748.34,0.23593616,7.8,1
2013,4,487845,0.24139229,7.8,1
2013,5,489063,0.2478484,7.7,0.94117647
2013,6,490281,0.25430453,7.7,0.94117647
2013,7,491499,0.26076065,7.7,0.94117647
2013,8,492552,0.26769292,7.6,0.88235294
2013,9,493605,0.27462518,7.4,0.82352941
2013,10,494658,0.27908132,7.2,0.76470588
2013,11,496203.33,0.28753744,7.2,0.76470588
2013,12,497748.66,0.29599356,7.2,0.76470588
2013,1,499294,0.30444967,6.9,0.70588235
2013,2,500839.33,0.31290579,6.8,0.64705882
2014,3,505572,-1.013688866,6.6,2.782701604
2014,4,509636,-0.948245626,6.4,2.511400643
2014,5,511939,-0.911160049,6.3,2.375750162
2014,6,513464,-0.886602731,6.1,2.104449201
2014,7,517253,-0.82558786,6,1.96879872
2014,8,520279,-0.776859699,6,1.96879872
2014,9,523512,-0.724798185,6,1.96879872
2014,10,527683,-0.657631907,5.9,1.833148239
2014,11,528683,-0.641528747,5.7,1.561847278
2014,12,539679,-0.464458406,5.7,1.561847278
2015,1,557081,-0.184231225,5.6,1.426196797
2015,2,531163,-0.601592912,5.5,1.290546317
2015,3,505572,-1.013688866,5.5,1.290546317
2015,4,509636,-0.948245626,5.6,1.426196797
2015,5,524797,-0.704105625,5.6,1.426196797
2015,6,528565,-0.64342892,5.5,1.290546317
2015,7,536255,-0.519595624,5.4,1.154895836
2015,8,547663,-0.33589078,5.3,1.019245355
2015,9,557012,-0.185342343,5.2,0.883594874
2015,10,561410,-0.114520647,5.1,0.747944394
2015,11,553927,-0.235020589,5.1,0.747944394
2015,12,489154,-1.278070538,5.1,0.747944394
2016,1,489154,-1.278070538,5.1,0.747944394
2016,2,467652,-1.624320673,5.1,0.747944394
2016,3,506565,-0.997698428,5,0.612293913
2016,4,506938,-0.99169195,4.9,0.476643432
2016,5,520715,-0.769838722,4.9,0.476643432
2016,6,541831,-0.429804406,4.9,0.476643432
2016,7,550654,-0.28772623,5,0.612293913
2016,8,556173,-0.198852893,4.8,0.340992952
2016,9,557167,-0.182846353,4.8,0.340992952
2016,10,557548,-0.176711049,4.8,0.340992952
2016,11,556066,-0.200575931,4.7,0.205342471
2016,12,559089,-0.15189608,4.7,0.205342471
2017,1,562051,-0.104198522,4.6,0.06969199
2017,2,566501,-0.032539462,4.6,0.06969199
2017,3,573554,0.081036121,4.5,-0.065958491
2017,4,580607,0.194611705,4.4,-0.201608971
2017,5,583662,0.243806857,4.4,-0.201608971
2017,6,584018,0.249539582,4.3,-0.337259452
2017,7,589555,0.338702776,4.3,-0.337259452
2017,8,592795,0.390877013,4.3,-0.337259452
2017,9,596035,0.44305125,4.2,-0.472909933
2017,10,601346,0.52857513,4.3,-0.337259452
2017,11,604427,0.578188964,4.4,-0.201608971
2017,12,609080,0.653116965,4.3,-0.337259452
2018,1,612161,0.702730799,4.2,-0.472909933
2018,2,615243,0.752360737,4.2,-0.472909933
2018,3,618325,0.801990674,4.2,-0.472909933
2018,4,619646,0.823262948,4.2,-0.472909933
2018,5,626317,0.930687125,4,-0.744210894
2018,6,631183,1.009045099,4,-0.744210894
2018,7,634309,1.059383575,4,-0.744210894
2018,8,638965,1.134359886,4.1,-0.608560413
2018,9,642626,1.193313553,4.1,-0.608560413
2018,10,647461,1.271172329,4,-0.744210894
2018,11,650345,1.31761384,4,-0.744210894
2018,12,653228,1.364039249,3.9,-0.879861375
2019,1,656112,1.410480761,3.9,-0.879861375
2019,2,656941,1.42383028,3.8,-1.015511856
2019,3,663315,1.526471819,3.8,-1.015511856
2019,4,663784,1.534024201,3.8,-1.015511856
2019,5,667209,1.589177522,3.9,-0.879861375
2019,6,667496,1.593799129,3.8,-1.015511856
2019,7,672657,1.676907535,3.9,-0.879861375
2019,8,674824,1.711803081,3.8,-1.015511856
2019,9,680196,1.798309254,3.8,-1.015511856
2019,10,681311,1.816264277,3.8,-1.015511856
2019,11,683449,1.850692832,3.8,-1.015511856
2019,12,683818,1.856634897,3.9,-0.879861375
2020,1,680494,1.803107995,4,-0.744210894
2020,2,667654,1.596343428,4,-0.744210894
2020,3,537988,-0.491688848,4.1,-0.608560413
2020,4,484465,-1.353578253,4.1,-0.608560413
2020,5,454332,-1.838814757,4.1,-0.608560413
2020,6,444317,-2.000087899,4.3,-0.337259452
2020,7,448426,-1.933920017,4.6,0.06969199
2020,8,454243,-1.840247938,4.9,0.476643432
2020,9,460060,-1.74657586,5.1,0.747944394
2020,10,465877,-1.652903781,5.1,0.747944394
2020,11,473664,-1.527508478,5.2,0.883594874
2020,12,481450,-1.402129279,5.1,0.747944394
2021,1,489238,-1.276717873,5.1,0.747944394
2021,2,495008,-1.183802642,4.9,0.476643432
2021,3,502215,-1.067747172,4.9,0.476643432
2021,4,509422,-0.951691702,4.9,0.476643432
2021,5,525293,-0.696118458,4.7,0.205342471
2021,6,537105,-0.505907938,4.6,0.06969199
2021,7,542796,-0.414264858,4.4,-0.201608971
2021,8,547526,-0.338096913,4.3,-0.337259452
2021,9,553431,-0.243007757,4.2,-0.472909933
2021,10,558749,-0.157371155,4.1,-0.608560413
2021,11,563661,-0.078272435,4,-0.744210894
2021,12,568573,0.000826284,4,-0.744210894
2022,1,573485,0.079925003,3.8,-1.015511856
2022,2,575935,0.119377744,3.7,-1.151162336
2022,3,578385,0.158830485,3.8,-1.015511856
2022,4,580835,0.198283226,3.8,-1.015511856
2022,5,586091,0.282921432,3.8,-1.015511856
2022,6,589453,0.337060254,3.6,-1.286812817
2022,7,591129,0.364049149,3.5,-1.422463298
2022,8,592804,0.391021941,3.6,-1.286812817
2022,9,594479,0.417994733,3.7,-1.151162336
2022,10,597067,0.45966971,3.7,-1.151162336
2022,11,598807,0.487689208,3.7,-1.151162336
2022,12,600548,0.515724808,3.7,-1.151162336
2023,1,602288,0.543744306,3.8,-1.015511856
2023,2,603273,0.559605918,3.8,-1.015511856
2023,mar,604259,0.575483633,3.7,-1.151162336