,date,month,year,Interest Rate,Interest Rate Norm,Interest Rate Norm Diff,Interest Rate Norm Diff2
3,2013-03-01,3,2013,1.9768,0.4233914641274608,-0.23113996541894372,-0.3443560637314517
4,2013-04-01,4,2013,1.7824,0.20017432911781066,-0.22321713500965015,0.007922830409293563
5,2013-05-01,5,2013,1.9462,0.3882554336166826,0.18808110449887191,0.41129823950852207
6,2013-06-01,6,2013,2.3063,0.8017353220784884,0.41347988846180583,0.22539878396293392
7,2013-07-01,7,2013,2.471,0.9908498392394425,0.18911451716095407,-0.22436537130085177
8,2013-08-01,8,2013,2.7088,1.2639004292872553,0.27305059004781285,0.08393607288685878
9,2013-09-01,9,2013,2.8443,1.4194864467451134,0.15558601745785805,-0.1174645725899548
10,2013-10-01,10,2013,2.6784,1.2289940460347173,-0.19049240071039608,-0.34607841816825413
11,2013-11-01,11,2013,2.7598,1.3224604801385522,0.09346643410383493,0.283958834814231
12,2013-12-01,12,2013,2.9458,1.536032430302107,0.21357195016355468,0.12010551605971975
13,2014-01-01,1,2014,2.91,1.4949255710770788,-0.0411068592250281,-0.2546788093885828
14,2014-02-01,2,2014,2.8147,1.3854986525255373,-0.10942691855154152,-0.06832005932651342
15,2014-03-01,3,2014,2.7837,1.3499033274982781,-0.03559532502725915,0.07383159352428237
16,2014-04-01,4,2014,2.7417,1.3016774032677978,-0.04822592423048033,-0.012630599203221182
17,2014-05-01,5,2014,2.6989,1.2525328900043566,-0.04914451326344116,-0.000918589032960826
18,2014-06-01,6,2014,2.7842,1.3504774456438786,0.09794455563952198,0.14708906890296314
19,2014-07-01,7,2014,2.7343,1.293180454712904,-0.05729699093097462,-0.1552415465704966
20,2014-08-01,8,2014,2.5347,1.0639924909890037,-0.22918796372390027,-0.17189097279292564
21,2014-09-01,9,2014,2.4919,1.014847977725562,-0.049144513263441825,0.18004345046045844
22,2014-10-01,10,2014,2.2469,0.7335300863810956,-0.2813178913444663,-0.23217337808102445
23,2014-11-01,11,2014,2.1593,0.6329445872718086,-0.10058549910928705,0.18073239223517923
24,2014-12-01,12,2014,1.9287,0.36816129852064944,-0.26478328875115914,-0.1641977896418721
25,2015-01-01,1,2015,1.589,-0.021894569600637764,-0.39005586812128723,-0.1252725793701281
26,2015-02-01,2,2015,1.7365,0.14747028335164317,0.16936485295228093,0.5594207210735682
27,2015-03-01,3,2015,1.7941,0.21360869372487298,0.06613841037322982,-0.10322644257905111
28,2015-04-01,4,2015,1.755,0.16871265473887836,-0.04489603898599462,-0.11103444935922444
29,2015-05-01,5,2015,2.0243,0.4779326879595517,0.3092200332206733,0.35411607220666796
30,2015-06-01,6,2015,2.1696,0.6447714210711882,0.16683873311163655,-0.14238130010903677
31,2015-07-01,7,2015,2.1353,0.6053869162829628,-0.039384504788225416,-0.20622323789986197
32,2015-08-01,8,2015,1.9799,0.4269509966301869,-0.17843591965277594,-0.13905141486455053
33,2015-09-01,9,2015,1.8814,0.3138497219467992,-0.11310127468338765,0.06533464496938829
34,2015-10-01,10,2015,1.846,0.2732021572382519,-0.0406475647085473,0.07245370997484035
35,2015-11-01,11,2015,1.9779,0.42465452404778303,0.1514523668095311,0.19209993151807842
36,2015-12-01,12,2015,1.9234,0.3620756461772793,-0.06257887787050376,-0.21403124468003487
37,2016-01-01,1,2016,1.7833,0.2012077417798925,-0.16086790439738677,-0.09828902652688301
38,2016-02-01,2,2016,1.5032,-0.12041324338576105,-0.3216209851656536,-0.1607530807682668
39,2016-03-01,3,2016,1.5434,-0.07425414447944446,0.04615909890631659,0.36778008407197016
40,2016-04-01,4,2016,1.5688,-0.04508894268291624,0.029165201796528227,-0.01699389710978836
41,2016-05-01,5,2016,1.5366,-0.08206215125961758,-0.03697320857670134,-0.06613841037322957
42,2016-06-01,6,2016,1.3105,-0.3416783767003682,-0.25961622544075064,-0.2226430168640493
43,2016-07-01,7,2016,0.9569,-0.7476947292693618,-0.40601635256899354,-0.1464001271282429
44,2016-08-01,8,2016,0.7421,-0.9943358846195309,-0.24664115535016917,0.15937519721882437
45,2016-09-01,9,2016,0.8243,-0.8999508614827343,0.09438502313679664,0.3410261784869658
46,2016-10-01,10,2016,1.078,-0.608643314404811,0.2913075470779233,0.19692252394112664
47,2016-11-01,11,2016,1.3818,-0.2598091291376725,0.3488341852671385,0.05752663818921522
48,2016-12-01,12,2016,1.4336,-0.20033048925341376,0.05947863988425875,-0.2893555453828798
49,2017-01-01,1,2017,1.4203,-0.21560203192639918,-0.015271542672985416,-0.07475018255724417
50,2017-02-01,2,2017,1.3058,-0.3470750872690171,-0.1314730553426179,-0.1162015126696325
51,2017-03-01,3,2017,1.194,-0.4754479046253902,-0.12837281735637313,0.003100237986244786
52,2017-04-01,4,2017,1.0789,-0.6076099017427294,-0.13216199711733922,-0.0037891797609660993
53,2017-05-01,5,2017,1.1175,-0.5632879809023359,0.04432192084039355,0.17648391795773277
54,2017-06-01,6,2017,1.0846,-0.6010649548828785,-0.03777697398054258,-0.08209889482093613
55,2017-07-01,7,2017,1.2713,-0.38668923931548277,0.2143757155673957,0.2521526895479383
56,2017-08-01,8,2017,1.1241,-0.5557096213804031,-0.16902038206492037,-0.3833960976323161
57,2017-09-01,9,2017,1.2436,-0.4184953845817756,0.13721423679862754,0.3062346188635479
58,2017-10-01,10,2017,1.3816,-0.2600387763959129,0.1584566081858627,0.02124237138723517
59,2017-11-01,11,2017,1.3299,-0.3194025926510512,-0.05936381625513831,-0.21782042444100103
60,2017-12-01,12,2017,1.2781,-0.3788812325353099,-0.05947863988425872,-0.00011482362912040855
61,2018-01-01,1,2018,1.3931,-0.24683405904709088,0.13204717348821904,0.19152581337247776
62,2018-02-01,2,2018,1.6034,-0.005359967007330371,0.2414740920397605,0.10942691855154146
63,2018-03-01,3,2018,1.508,-0.11490170918799202,-0.10954174218066165,-0.35101583422042215
64,2018-04-01,4,2018,1.5108,-0.11168664757262678,0.003215061615365236,0.11275680379602689
65,2018-05-01,5,2018,1.5016,-0.12225042145168416,-0.010563773879057381,-0.013778835494422617
66,2018-06-01,6,2018,1.4229,-0.21261661756927405,-0.09036619611758989,-0.07980242223853251
67,2018-07-01,7,2018,1.3739,-0.2688801958381676,-0.05626357826889353,0.034102617848696365
68,2018-08-01,8,2018,1.3991,-0.23994464129987944,0.02893555453828814,0.08519913280718167
69,2018-09-01,9,2018,1.5023,-0.12144665604784291,0.11849798525203653,0.08956243071374839
70,2018-10-01,10,2018,1.5462,-0.07103908286407923,0.05040757318376368,-0.06809041206827285
71,2018-11-01,11,2018,1.4541,-0.17679164528377475,-0.10575256241969552,-0.1561601356034592
72,2018-12-01,12,2018,1.3125,-0.33938190411796443,-0.16259025883418968,-0.056837696414494154
73,2019-01-01,1,2019,1.3221,-0.3283588357224261,0.011023068395538349,0.17361332722972803
74,2019-02-01,2,2019,1.239,-0.4237772715213043,-0.09541843579887821,-0.10644150419441656
75,2019-03-01,3,2019,1.19,-0.48004084979019784,-0.056263578268893555,0.039154857529984655
76,2019-04-01,4,2019,1.1906,-0.4793519080154765,0.0006889417747213411,0.056952520043614896
77,2019-05-01,5,2019,1.13,-0.5489350272623121,-0.06958311924683563,-0.07027206102155698
78,2019-06-01,6,2019,0.919,-0.7912128847059139,-0.24227785744360175,-0.17269473819676612
79,2019-07-01,7,2019,0.8304,-0.8929466201064027,-0.1017337354004888,0.14054412204311295
80,2019-08-01,8,2019,0.5776,-1.1832207545222444,-0.2902741344158417,-0.1885403990153529
81,2019-09-01,9,2019,0.5981,-1.159681910552605,0.023538843969639345,0.31381297838548106
82,2019-10-01,10,2019,0.6373,-1.1146710479374906,0.045010862615114444,0.0214720186454751
83,2019-11-01,11,2019,0.765,-0.9680412735510073,0.14662977438648328,0.10161891177136884
84,2019-12-01,12,2019,0.8308,-0.8924873255899219,0.07555394796108539,-0.07107582642539789
85,2020-01-01,1,2020,0.7235,-1.0156930796358863,-0.12320575404596434,-0.19875970200704973
86,2020-02-01,2,2020,0.633,-1.1196084639896586,-0.10391538435377234,0.019290369692192
87,2020-03-01,3,2020,0.4609,-1.3172199297055065,-0.19761146571584787,-0.09369608136207552
88,2020-04-01,4,2020,0.3577,-1.4357179149575432,-0.1184979852520367,0.07911348046381117
89,2020-05-01,5,2020,0.2743,-1.531480821643782,-0.09576290668623888,0.022735078565797817
90,2020-06-01,6,2020,0.278,-1.527232347366335,0.004248474277447123,0.100011380963686
91,2020-07-01,7,2020,0.2094,-1.6060013569427856,-0.07876900957645061,-0.08301748385389773
92,2020-08-01,8,2020,0.2717,-1.534466236000907,0.07153512094187864,0.15030413051832925
93,2020-09-01,9,2020,0.273,-1.5329735288223443,0.0014927071785626467,-0.07004241376331599
94,2020-10-01,10,2020,0.3058,-1.495311378470922,0.037662150351422286,0.03616944317285964
95,2020-11-01,11,2020,0.3836,-1.4059785950154138,0.08933278345550821,0.05167063310408593
96,2020-12-01,12,2020,0.3224,-1.4762506560369704,-0.07027206102155659,-0.1596048444770648
97,2021-01-01,1,2021,0.3672,-1.424809670191125,0.05144098584584533,0.12171304686740192
98,2021-02-01,2,2021,0.6222,-1.1320094159346394,0.2928002542564856,0.24135926841064026
99,2021-03-01,3,2021,0.8456,-0.8754934284801338,0.25651598745450566,-0.036284266801979936
100,2021-04-01,4,2021,0.8515,-0.8687188343620426,0.006774594118091226,-0.24974139333641443
101,2021-05-01,5,2021,0.9058,-0.8063696037497791,0.062349230612263495,0.05557463649417227
102,2021-06-01,6,2021,0.8549,-0.8648148309719561,-0.05844522722217704,-0.12079445783444054
103,2021-07-01,7,2021,0.6979,-1.0450879286906551,-0.18027309771869904,-0.121827870496522
104,2021-08-01,8,2021,0.644,-1.1069778647864377,-0.06188993609578253,0.11838316162291651
105,2021-09-01,9,2021,0.8023,-0.9252120598891762,0.18176580489726146,0.243655740993044
106,2021-10-01,10,2021,1.083,-0.6029021329488016,0.32230992694037464,0.14054412204311317
107,2021-11-01,11,2021,0.9394,-0.7677888643653951,-0.1648867314165935,-0.4871966583569681
108,2021-12-01,12,2021,0.8375,-0.8847941424388692,-0.11700527807347416,0.04788145334311933
109,2022-01-01,1,2022,1.2051,-0.4627024817930489,0.4220916606458203,0.5390969387192945
110,2022-02-01,2,2022,1.4891,-0.13660337509170792,0.326099106701341,-0.09599255394447931
111,2022-03-01,3,2022,1.5457,-0.07161320100968012,0.0649901740820278,-0.2611089326193132
112,2022-04-01,4,2022,1.8362,0.2619494415844732,0.3335626425941533,0.2685724685121255
113,2022-05-01,5,2022,1.9069,0.3431297473724479,0.0811803057879747,-0.2523823368061786
114,2022-06-01,6,2022,2.3824,0.8891161038389537,0.5459863564665057,0.46480605067853104
115,2022-07-01,7,2022,2.1454,0.6169841028241021,-0.2721320010148516,-0.8181183574813573
116,2022-08-01,8,2022,2.3278,0.8264224023393294,0.2094382995152273,0.4815703005300789
117,2022-09-01,9,2022,3.5007,2.173188748290044,1.3467663459507144,1.1373280464354871
118,2022-10-01,10,2022,4.1096,2.872349826002884,0.6991610777128403,-0.6476052682378741
119,2022-11-01,11,2022,3.4171,2.0771961943455644,-0.7951536316573198,-1.49431470937016
120,2022-12-01,12,2022,3.5015,2.1741073373230053,0.09691114297744097,0.8920647746347607
121,2023-01-01,1,2023,3.5115,2.185589700235024,0.011482362912018651,-0.08542878006542232
122,2023-02-01,2,2023,3.5553,2.2358824497896674,0.05029274955464347,0.03881038664262482
123,2023-03-01,3,2023,3.5638,2.245642458264884,0.00976000847521652,-0.04053274107942695
124,2023-04-01,4,2023,3.6503,2.3449648974538486,0.09932243918896466,0.08956243071374814
