2014,mar,6.7
2014,apr,9.2
2014,may,11.2
2014,jun,14.2
2014,jul,16.3
2014,aug,13.9
2014,sep,13.9
2014,oct,11
2014,nov,7.6
2014,dec,4.4
2015,jan,3.7
2015,feb,3.5
2015,mar,5.5
2015,apr,7.9
2015,may,9.5
2015,jun,12.7
2015,jul,14.4
2015,aug,14.7
2015,sep,11.9
2015,oct,10
2015,nov,8.1
2015,dec,7.9
2016,jan,4.5
2016,feb,3.8
2016,mar,5.3
2016,apr,6.5
2016,may,11.3
2016,jun,13.9
2016,jul,15.3
2016,aug,15.5
2016,sep,14.6
2016,oct,9.8
2016,nov,4.9
2016,dec,5.9
2017,jan,3.8
2017,feb,5.2
2017,mar,7.3
2017,apr,8
2017,may,12.1
2017,jun,14.4
2017,jul,15.1
2017,aug,14.5
2017,sep,12.5
2017,oct,11.2
2017,nov,5.7
2017,dec,4.1
2018,jan,4
2018,feb,2.3
2018,mar,3.8
2018,apr,8.4
2018,may,12
2018,jun,14.8
2018,jul,17.2
2018,aug,15.2
2018,sep,12.4
2018,oct,9.5
2018,nov,7.3
2018,dec,5.8
2019,jan,3.4
2019,feb,6
2019,mar,6.8
2019,apr,8.4
2019,may,10
2019,jun,13.2
2019,jul,16.4
2019,aug,15.8
2019,sep,13.1
2019,oct,8.9
2019,nov,5.3
2019,dec,5.1
2020,jan,5.6
2020,feb,5.1
2020,mar,5.6
2020,apr,9.1
2020,may,11.3
2020,jun,14
2020,jul,14.3
2020,aug,15.9
2020,sep,12.8
2020,oct,9
2020,nov,7
2020,dec,5.8
2021,jan,2.2
2021,feb,4.1
2021,mar,6.4
2021,apr,5.7
2021,may,9.1
2021,jun,14.2
2021,jul,16.6
2021,aug,15
2021,sep,14.7
2021,oct,10.9
2021,nov,7
2021,dec,5.3
2022,jan,4.7
2022,feb,5.6
2022,mar,6.7
2022,apr,8.1
2022,may,11.8
2022,jun,13.9
2022,jul,16.5
2022,aug,16.6
2022,sep,13.4
2022,oct,11.6
2022,nov,8.2
2022,dec,2.9
2023,jan,4.4
2023,feb,5.8
2023,mar,5.7